lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland_4,CatchmentSize_ha,pCO2_ppm,F_CO2_umol_m2_s,Ele_downstream,Ele_upstream,Stream_name,Ele_diff,reach_length,slope_m.m,k_m_d,Sc,K600
-78.19214109,-0.317504145,4322.593278,10,3,0,ANTE,0.2025,NA,0.083333333,4327.383143,NA,Antenas,NA,90,NA,NA,NA,NA
-78.19218118,-0.317380145,4319.310512,38,3.5,14.55628335,ANTE,0.3159,5341.61136,1,4323.369224,NA,Antenas,NA,90,NA,0.505231024,1088.533353,0.680511167
-78.19220306,-0.317253145,4316.716075,24,7.5,28.90388363,ANTE,0.4698,1276.566228,0.085,4319.901644,NA,Antenas,NA,90,NA,0.241403784,1100.971708,0.327006607
-78.19221589,-0.317135145,4314.845122,33,13.5,42.12155203,ANTE,0.5517,1132.429194,0.055,4316.10494,4327.897949,Antenas,11.793009,90,0.131033433,0.185013522,1125.28843,0.253372672
-78.1922171,-0.317096145,4314.422195,33,13.5,46.46553906,ANTE,0.5553,11459.57361,1.365,4315.390051,4323.317765,Antenas,7.927714,90,0.088085711,0.301629417,1133.70568,0.414618075
-78.1921692,-0.316536145,4312.018482,31,9,110.1921652,ANTE,2.5047,4894.492681,0.255,4313.134441,4314.714854,Antenas,1.580413,90,0.017560144,0.14297369,1073.123726,0.19120771
-78.19236386,-0.316258145,4309.072122,113.5,20,148.0300794,ANTE,3.0609,1578.686108,0.245,4311.160013,4313.530762,Antenas,2.370749,90,0.026341656,0.52508316,1073.123726,0.702226741
-78.1925583,-0.316121145,4306.77104,60,18,174.6643894,ANTE,3.9591,928.338098,0.11,4309.749605,4313.340928,Antenas,3.591323,90,0.039903589,0.526123939,1082.179484,0.706581213
-78.19266507,-0.315761145,4302.222193,45.5,14.5,221.7485368,ANTE,4.3722,1272.841318,0.235,4306.196884,4312.765098,Antenas,6.568214,90,0.072980156,0.675820061,1090.780333,0.911221805
-78.19276832,-0.315590145,4301.832308,41.5,94,244.16928,ANTE,4.8294,1209.46321,0.285,4304.735352,4311.29419,Antenas,6.558838,90,0.072875978,0.884166271,1090.780333,1.192139197
-78.19283657,-0.315412145,4301.504075,37.5,12,265.8126506,ANTE,5.2578,1311.062431,0.285,4304.74287,4310.214682,Antenas,5.471812,90,0.060797911,0.782740531,1097.360313,1.058563274
-78.19309548,-0.3152581,4296.348541,54,7.25,303.4471123,ANTE,5.3289,522.9615036,0.265,4299.837514,4308.320512,Antenas,8.482998,90,0.094255533,5.555666878,1109.064763,7.553339853
-78.19357953,-0.315165413,4275.80655,56.5,15,372.2681579,ANTE,5.5107,316.8696346,-0.01,4281.304477,4304.737646,Antenas,23.433169,90,0.260368544,0.275542015,1116.065287,0.375800199
-78.19359638,-0.315145413,4275.687063,66.5,22.25,375.1796192,ANTE,5.5755,548.8156906,0.08,4279.110464,4304.735352,Antenas,25.624888,90,0.284720978,1.373387361,1133.70568,1.887850427
-78.19361057,-0.315128413,4275.676881,66.5,22.25,377.6445531,ANTE,5.5764,563.8440146,0.075,4278.29189,4304.759832,Antenas,26.467942,90,0.294088244,1.176644304,1116.065287,1.60477582
-78.19369663,-0.315026413,4275.542664,17.5,13,392.5013554,ANTE,5.9571,1026.038211,0.223333333,4276.520889,4303.842538,Antenas,27.321649,90,0.303573878,0.894120274,1100.971708,1.21117918
-78.19383481,-0.314887413,4272.298126,17,4,414.3369614,ANTE,6.0975,2425.550391,0.373333333,4274.784156,4299.125797,Antenas,24.341641,90,0.270462678,0.46142327,1088.533353,0.621505159
-78.19391905,-0.314820413,4268.199467,17.5,3.77,426.3215538,ANTE,6.1272,1744.438456,0.093333333,4272.87624,4294.434522,Antenas,21.558282,90,0.239536467,0.172187668,1112.541606,0.234468523
-78.19405211,-0.314734413,4267.193224,10,4,443.9671375,ANTE,10.0629,785.6929274,0.11,4267.529167,4283.318581,Antenas,15.789414,90,0.175437933,0.730056845,1074.345792,0.976906717
-78.19410084,-0.314707413,4267.13121,35.5,20.5,450.1685604,ANTE,10.1124,1008.527805,1.075,4267.509766,4282.399695,Antenas,14.889929,90,0.165443656,4.399251353,1122.617285,6.017540384
-78.20061125,-0.328361,4103.530731,60.5,61,523.5859696,Gavilan Outlet,81.7794,7591.788998,0.6,4099.620358,4103.271973,GaviOutlet,3.651615,30,0.1217205,0.20444782,1139.838913,0.281791961
-78.20060709,-0.328581,4102.626828,72.5,46.5,548.1782515,Gavilan Outlet,81.8082,7288.120455,0.75,4099.761836,4098.472727,GaviOutlet,-1.289109,30,-0.0429703,0.266370751,1143.401221,0.36771406
-78.20060297,-0.328786,4101.786126,53.5,73,571.0524416,Gavilan Outlet,81.8145,4817.05608,0.505,4097.38701,4098.301342,GaviOutlet,0.914332,30,0.030477733,0.280369233,1141.858155,0.386777149
-78.20066466,-0.329003,4095.136621,90,108,596.2797799,Gavilan Outlet,82.2564,2236.719952,0.515,4094.283028,4096.61433,GaviOutlet,2.331302,30,0.077710067,0.690328464,1147.528645,0.954689011
